taxonKey	nubKey	taxonID	scientificName	taxonomicStatus	acceptedKey	acceptedName	acceptedTaxonRank	acceptedClassKey	acceptedClass	acceptedKingdom
152545067	5359169	https://www.gbif.org/species/5359169	Trifolium michelianum Savi	ACCEPTED	5359169	Trifolium michelianum Savi	SPECIES	220	Magnoliopsida	Plantae
152545068	5359345	https://www.gbif.org/species/5359345	Trifolium echinatum M.Bieb.	ACCEPTED	5359345	Trifolium echinatum M.Bieb.	SPECIES	220	Magnoliopsida	Plantae
152545069	5359334	https://www.gbif.org/species/5359334	Trifolium vesiculosum Savi	ACCEPTED	5359334	Trifolium vesiculosum Savi	SPECIES	220	Magnoliopsida	Plantae
152545070	5359263	https://www.gbif.org/species/5359263	Trifolium spumosum L.	ACCEPTED	5359263	Trifolium spumosum L.	SPECIES	220	Magnoliopsida	Plantae
152545071	5359260	https://www.gbif.org/species/5359260	Trifolium patens Schreb.	ACCEPTED	5359260	Trifolium patens Schreb.	SPECIES	220	Magnoliopsida	Plantae
152545072	5359402	https://www.gbif.org/species/5359402	Trifolium hybridum subsp. elegans (Savi) Asch. & Graebn.	ACCEPTED	5359402	Trifolium hybridum subsp. elegans (Savi) Asch. & Graebn.	SUBSPECIES	220	Magnoliopsida	Plantae
152545073	5359411	https://www.gbif.org/species/5359411	Trifolium pallidum Waldst. & Kit.	ACCEPTED	5359411	Trifolium pallidum Waldst. & Kit.	SPECIES	220	Magnoliopsida	Plantae
152545074	5359378	https://www.gbif.org/species/5359378	Trifolium incarnatum L.	ACCEPTED	5359378	Trifolium incarnatum L.	SPECIES	220	Magnoliopsida	Plantae
152545075	5359395	https://www.gbif.org/species/5359395	Trifolium angustifolium L.	ACCEPTED	5359395	Trifolium angustifolium L.	SPECIES	220	Magnoliopsida	Plantae
152545076	5359475	https://www.gbif.org/species/5359475	Trifolium strictum L.	ACCEPTED	5359475	Trifolium strictum L.	SPECIES	220	Magnoliopsida	Plantae
152545077	5359499	https://www.gbif.org/species/5359499	Trifolium alpestre L.	ACCEPTED	5359499	Trifolium alpestre L.	SPECIES	220	Magnoliopsida	Plantae
152545078	5359445	https://www.gbif.org/species/5359445	Trifolium hirtum All.	ACCEPTED	5359445	Trifolium hirtum All.	SPECIES	220	Magnoliopsida	Plantae
152545079	5359447	https://www.gbif.org/species/5359447	Trifolium isthmocarpum Brot.	ACCEPTED	5359447	Trifolium isthmocarpum Brot.	SPECIES	220	Magnoliopsida	Plantae
152545080	5359510	https://www.gbif.org/species/5359510	Trifolium tomentosum L.	ACCEPTED	5359510	Trifolium tomentosum L.	SPECIES	220	Magnoliopsida	Plantae
152545081	5359526	https://www.gbif.org/species/5359526	Trifolium purpureum Loisel.	ACCEPTED	5359526	Trifolium purpureum Loisel.	SPECIES	220	Magnoliopsida	Plantae
152545083	5358301	https://www.gbif.org/species/5358301	Scorpiurus vermiculatus L.	ACCEPTED	5358301	Scorpiurus vermiculatus L.	SPECIES	220	Magnoliopsida	Plantae
152545088	5348644	https://www.gbif.org/species/5348644	Coronilla scorpioides (L.) W.D.J.Koch	ACCEPTED	5348644	Coronilla scorpioides (L.) W.D.J.Koch	SPECIES	220	Magnoliopsida	Plantae
152545091	5347854	https://www.gbif.org/species/5347854	Pisum sativum var. sativum	SYNONYM	10683509	Lathyrus oleraceus var. oleraceus	VARIETY	220	Magnoliopsida	Plantae
152545093	5352251	https://www.gbif.org/species/5352251	Robinia pseudoacacia L.	ACCEPTED	5352251	Robinia pseudoacacia L.	SPECIES	220	Magnoliopsida	Plantae
152545095	5350466	https://www.gbif.org/species/5350466	Phaseolus coccineus L.	ACCEPTED	5350466	Phaseolus coccineus L.	SPECIES	220	Magnoliopsida	Plantae
152545096	5350452	https://www.gbif.org/species/5350452	Phaseolus vulgaris L.	ACCEPTED	5350452	Phaseolus vulgaris L.	SPECIES	220	Magnoliopsida	Plantae
152545101	5353705	https://www.gbif.org/species/5353705	Hippocrepis emerus (L.) Lassen	ACCEPTED	5353705	Hippocrepis emerus (L.) Lassen	SPECIES	220	Magnoliopsida	Plantae
152545103	5353590	https://www.gbif.org/species/5353590	Cercis siliquastrum L.	ACCEPTED	5353590	Cercis siliquastrum L.	SPECIES	220	Magnoliopsida	Plantae
