taxonKey	canonicalName	kingdom	class	em_pts	mean_growth	year_2023_em_status_occupancy_natura2000_Wallonia	year_2023_em_status_occs_natura2000_Wallonia	year_2022_em_status_occupancy_natura2000_Wallonia	year_2022_em_status_occs_natura2000_Wallonia	year_2021_em_status_occupancy_natura2000_Wallonia	year_2021_em_status_occs_natura2000_Wallonia	kingdomKey	classKey
2685484	Abies alba	Plantae	Pinopsida	16.5	0.8385430338802324	2	1	2	1	2	1	6	194
2867614	Lemna minuta	Plantae	Liliopsida	16.5	0.8289577127837988	2	1	2	1	2	1	6	196
7978544	Hydrocotyle ranunculoides	Plantae	Magnoliopsida	16.5	0.7465605152012607	2	1	2	1	2	1	6	220
2865565	Lagarosiphon major	Plantae	Liliopsida	16.5		1	1	2	2	2	2	6	196
3085357	Saponaria ocymoides	Plantae	Magnoliopsida	16.5		1	1	2	2	2	2	6	220
3098951	Cosmos sulphureus	Plantae	Magnoliopsida	16.5		1	1	2	2	2	2	6	220
3172266	Jasminum nudiflorum	Plantae	Magnoliopsida	16.5		1	1	2	2	2	2	6	220
3741446	Erinus alpinus	Plantae	Magnoliopsida	16.5		1	1	2	2	2	2	6	220
4038485	Reynoutria bohemica	Plantae	Magnoliopsida	16.5		1	1	2	2	2	2	6	220
4938682	Larix marschlinsii	Plantae	Pinopsida	16.5		1	1	2	2	2	2	6	194
5329263	Elodea densa	Plantae	Liliopsida	16.5		1	1	2	2	2	2	6	196
5361785	Myriophyllum aquaticum	Plantae	Magnoliopsida	16.5		1	1	2	2	2	2	6	220
7162908	Convolvulus tricolor	Plantae	Magnoliopsida	16.5		1	1	2	2	2	2	6	220
3152583	Hibiscus syriacus	Plantae	Magnoliopsida	16	0.8444501153538819	1	1	3	1	2	1	6	220
2651122	Polystichum munitum	Plantae	Polypodiopsida	16		1	1	3	2	1	1	6	7228684
2684120	Sequoiadendron giganteum	Plantae	Pinopsida	16		1	1	1	3	2	2	6	194
3040184	Populus balsamifera	Plantae	Magnoliopsida	16		2	2	2	2	0	0	6	220
3039194	Parthenocissus quinquefolia	Plantae	Magnoliopsida	15.5	0.9605703014039126	1	1	2	1	3	1	6	220
2701612	Juncus ensifolius	Plantae	Liliopsida	15.5		1	1	1	1	3	3	6	196
2856204	Allium siculum	Plantae	Liliopsida	15.5		1	1	1	1	3	3	6	196
2858963	Narcissus tazetta	Plantae	Liliopsida	15.5		1	1	1	1	3	3	6	196
2891707	Oxalis debilis	Plantae	Magnoliopsida	15.5		1	1	1	1	3	3	6	220
2928026	Nemophila menziesii	Plantae	Magnoliopsida	15.5		1	1	1	1	3	3	6	220
2985964	Deutzia gracilis	Plantae	Magnoliopsida	15.5		1	1	1	1	3	3	6	220
3000679	Chaenomeles speciosa	Plantae	Magnoliopsida	15.5		1	1	1	1	3	3	6	220
3022609	Prunus serrulata	Plantae	Magnoliopsida	15.5		1	1	1	1	3	3	6	220
3034782	Smyrnium olusatrum	Plantae	Magnoliopsida	15.5		1	1	1	1	3	3	6	220
3133938	Coreopsis lanceolata	Plantae	Magnoliopsida	15.5		1	1	1	1	3	3	6	220
3152824	Liquidambar styraciflua	Plantae	Magnoliopsida	15.5		1	1	1	1	3	3	6	220
3190411	Ptelea trifoliata	Plantae	Magnoliopsida	15.5		1	1	1	1	3	3	6	220
5304187	Triteleia laxa	Plantae	Liliopsida	15.5		1	1	1	1	3	3	6	196
5334194	Macleaya cordata	Plantae	Magnoliopsida	15.5		1	1	1	1	3	3	6	220
5334527	Limnanthes douglasii	Plantae	Magnoliopsida	15.5		1	1	1	1	3	3	6	220
5415054	Forsythia intermedia	Plantae	Magnoliopsida	15.5		1	1	1	1	3	3	6	220
5415455	Acanthus mollis	Plantae	Magnoliopsida	15.5		1	1	1	1	3	3	6	220
5582033	Salix udensis	Plantae	Magnoliopsida	15.5		1	1	1	1	3	3	6	220
6391417	Rumex thyrsiflorus	Plantae	Magnoliopsida	15.5		1	1	1	1	3	3	6	220
7172831	Phedimus aizoon	Plantae	Magnoliopsida	15.5		1	1	1	1	3	3	6	220
8011733	Weigela floribunda	Plantae	Magnoliopsida	15.5		1	1	1	1	3	3	6	220
10902460	Salvia rosmarinus	Plantae	Magnoliopsida	15.5		1	1	2	3	1	1	6	220
2651816	Adiantum capillus-veneris	Plantae	Polypodiopsida	15		1	1	3	3	0	0	6	7228684
2684178	Thuja occidentalis	Plantae	Pinopsida	15		2	2	1	1	1	1	6	194
2702822	Echinochloa frumentacea	Plantae	Liliopsida	15		1	1	3	3	0	0	6	196
