taxonKey	canonicalName	kingdom	class	em_pts	mean_growth	year_2023_em_status_occupancy_natura2000_Wallonia	year_2023_em_status_occs_natura2000_Wallonia	year_2023_em_status_occupancy_Wallonia	year_2023_em_status_occs_Wallonia	year_2022_em_status_occupancy_natura2000_Wallonia	year_2022_em_status_occs_natura2000_Wallonia	year_2022_em_status_occupancy_Wallonia	year_2022_em_status_occs_Wallonia	year_2021_em_status_occupancy_natura2000_Wallonia	year_2021_em_status_occs_natura2000_Wallonia	year_2021_em_status_occupancy_Wallonia	year_2021_em_status_occs_Wallonia	kingdomKey	classKey
2767271	Scilla luciliae	Plantae	Liliopsida	48.5		1	1	1	1	3	3	2	2	3	3	3	3	6	196
2772666	Hyacinthus orientalis	Plantae	Liliopsida	48.5		1	1	2	2	2	2	2	2	3	3	3	3	6	196
3886505	Phlomis russeliana	Plantae	Magnoliopsida	48.5		1	1	1	1	3	2	3	2	3	3	3	3	6	220
5384932	Saururus cernuus	Plantae	Magnoliopsida	48.5		1	1	1	1	3	3	2	2	3	3	3	3	6	220
7222255	Lactuca macrophylla macrophylla	Plantae	Magnoliopsida	48.5		1	1	1	1	3	3	3	2	2	3	3	3	6	220
5410151	Campanula poscharskyana	Plantae	Magnoliopsida	48	0.9422455337237333	2	2	3	1	2	2	3	1	2	2	2	1	6	220
3033077	Aucuba japonica	Plantae	Magnoliopsida	48	0.9027568959116585	2	2	2	1	3	3	2	1	2	2	2	1	6	220
2434552	Nyctereutes procyonoides	Animalia	Mammalia	48		2	2	2	2	2	2	2	2	2	2	2	2	1	359
2440946	Muntiacus reevesi	Animalia	Mammalia	48		2	2	2	2	2	2	2	2	2	2	2	2	1	359
2443002	Trachemys scripta	Animalia	Testudines	48		2	2	2	2	2	2	2	2	2	2	2	2	1	11418114
2888859	Muehlenbeckia complexa	Plantae	Magnoliopsida	48		2	2	1	1	3	3	3	3	1	1	2	2	6	220
3003709	Rosa glauca	Plantae	Magnoliopsida	48		2	2	2	2	2	2	2	2	2	2	2	2	6	220
6157026	Trachemys scripta elegans	Animalia	Testudines	48		2	2	2	2	2	2	2	2	2	2	2	2	1	11418114
2480786	Theristicus melanopis	Animalia	Aves	47.5		1	1	1	1	2	3	2	3	3	3	3	3	1	212
2984676	Pachysandra terminalis	Plantae	Magnoliopsida	47.5		1	1	1	1	3	3	3	3	2	3	2	2	6	220
3067353	Euphorbia characias	Plantae	Magnoliopsida	47.5		1	1	1	1	2	2	3	3	3	3	3	3	6	220
3190522	Cotinus coggygria	Plantae	Magnoliopsida	47.5		1	1	1	1	2	2	3	3	3	3	3	3	6	220
9326020	Gallus gallus	Animalia	Aves	47	1.0849089519183206	1	1	2	3	2	2	2	3	2	2	2	3	1	212
2498090	Anas bahamensis	Animalia	Aves	47	0.7407011513754709	2	2	2	0	3	3	3	0	2	3	2	0	1	212
2767428	Puschkinia scilloides	Plantae	Liliopsida	47		1	1	2	2	3	3	3	3	1	1	2	2	6	196
5375020	Arabis alpina	Plantae	Magnoliopsida	46.5		1	1	1	1	3	2	2	2	3	3	3	3	6	220
3169137	Euonymus fortunei	Plantae	Magnoliopsida	46		2	2	2	2	2	2	2	3	1	1	2	2	6	220
4486243	Oxycarenus lavaterae	Animalia	Insecta	46		1	1	1	1	3	3	3	3	2	2	2	2	1	216
5284237	Cryptomeria japonica	Plantae	Pinopsida	46		2	2	2	2	1	1	1	1	3	3	3	3	6	194
5341201	Anchusa officinalis	Plantae	Magnoliopsida	46		1	1	2	2	3	3	2	2	1	1	3	3	6	220
3098912	Cosmos bipinnatus	Plantae	Magnoliopsida	45.5	1.3761209122106424	1	3	0	3	2	3	0	3	3	3	0	3	6	220
3039194	Parthenocissus quinquefolia	Plantae	Magnoliopsida	45.5	1.0204687334845377	1	1	2	3	2	1	2	3	3	1	2	3	6	220
2882482	Calluna vulgaris	Plantae	Magnoliopsida	45	1.0611607506890839	1	3	1	3	1	3	1	3	1	3	1	3	6	220
3021730	Prunus cerasifera	Plantae	Magnoliopsida	45	1.0297051703870306	1	3	1	3	1	3	1	3	1	3	1	3	6	220
3040233	Populus alba	Plantae	Magnoliopsida	45	1.0269024994740148	1	3	1	3	1	3	1	3	1	3	1	3	6	220
1152186	Callidiellum rufipennis	Animalia	Insecta	45		1	1	3	3	1	1	1	1	3	3	3	3	1	216
4102952	Knautia macedonica	Plantae	Magnoliopsida	45		1	1	1	1	3	3	3	3	1	1	3	3	6	220
5334194	Macleaya cordata	Plantae	Magnoliopsida	45		1	1	3	3	1	1	1	1	3	3	3	3	6	220
