taxonKey	taxonName	kingdom	class	year_2024_em_status_occupancy_natura2000	year_2024_em_status_occs_natura2000	year_2024_em_status_occupancy_Belgium	year_2024_em_status_occs_Belgium	year_2023_em_status_occupancy_natura2000	year_2023_em_status_occs_natura2000	year_2023_em_status_occupancy_Belgium	year_2023_em_status_occs_Belgium	year_2022_em_status_occupancy_natura2000	year_2022_em_status_occs_natura2000	year_2022_em_status_occupancy_Belgium	year_2022_em_status_occs_Belgium	mean_growth	clasKey
2716226	Cyperus esculentus L.	Plantae	Liliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2236279420140408	196
3172615	Catalpa bignonioides Walter	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2232772058782302	220
3169708	Vinca major L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2230087040118496	220
5281901	Campylopus introflexus (Hedw.) Brid.	Plantae	Bryopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2212709262597259	327
2890502	Geranium endressii J.Gay	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2207971243333047	220
2715482	Cyperus eragrostis Lam.	Plantae	Liliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2204092565810243	196
3021922	Prunus cerasus L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2181740877012455	220
5289693	Setaria pumila (Poir.) Roem. & Schult.	Plantae	Liliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2170448527574937	196
5289913	Polypogon maritimus Willd.	Plantae	Liliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.215376891731209	196
3190653	Ailanthus altissima (Mill.) Swingle	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2151621425350172	220
2928751	Datura stramonium L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2132052759455125	220
4201607	Phedimus spurius (M.Bieb.) 't Hart	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2112167492352433	220
5330661	Arum italicum Mill.	Plantae	Liliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2108684861409746	196
3981543	Berberis julianae C.K.Schneid.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.207804095189137	220
5377060	Lepidium didymum L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2029259021105458	220
7733140	Bellardia viscosa (L.) Fisch. & C.A.Mey.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2016289745727904	220
7466434	Pastinaca sativa subsp. urens (Req. ex Godr.) Celak.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2010821039200053	220
2705185	Sorghum halepense (L.) Pers.	Plantae	Liliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.19986439171848	196
3690997	Cardamine occulta Hornem.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.1995988676654032	220
3602683	Papaver cambricum L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.199272171646844	220
3172118	Veronica longifolia L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.1968131538533155	220
3032698	Tellima grandiflora (Pursh) Douglas ex Lindl.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.1953796504804768	220
8909595	Faxonius limosus (Rafinesque, 1817)	Animalia	Malacostraca	3	3	3	3	3	3	3	3	3	3	3	3	1.1946215170283745	229
3082244	Cornus sericea L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.1935613240654535	220
2498344	Cygnus atratus (Latham, 1790)	Animalia	Aves	3	3	3	3	3	3	3	3	3	3	3	3	1.1897394638057017	212
9823072	Oxalis stricta L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.1861651342276944	220
3033227	Eranthis hyemalis (L.) Salisb.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.1859890839532514	220
7678610	Raphanus sativus L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.1841571019823607	220
2925514	Verbena bonariensis L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.1840321806989516	220
5289972	Digitaria sanguinalis (L.) Scop.	Plantae	Liliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.182261733431343	196
