taxonKey	taxonName	reappearance_year	years_without_occurrences	acceptedKingdom
3152816	Platanus orientalis	2025	5	Plantae
3172266	Jasminum nudiflorum	2025	5	Plantae
4102952	Knautia macedonica	2025	5	Plantae
5374922	Arabis caucasica	2025	5	Plantae
5376692	Lepidium latifolium	2025	5	Plantae
5384458	Gypsophila paniculata	2025	5	Plantae
5392683	Echinops exaltatus	2024	41	Plantae
5384395	Amaranthus blitoides	2024	39	Plantae
2684171	Thuja plicata	2024	36	Plantae
3050364	Bunias orientalis	2024	32	Plantae
7433196	Euonymus latifolius	2024	32	Plantae
5284237	Cryptomeria japonica	2024	31	Plantae
2703723	Bromus catharticus	2024	23	Plantae
3036033	Hedera colchica	2024	22	Plantae
7068379	Vicia sativa subsp. sativa Linnaeus, 1763	2024	22	Plantae
2865448	Elodea canadensis	2024	21	Plantae
2287072	Dreissena polymorpha	2024	20	Animalia
3026585	Spiraea alba	2024	20	Plantae
6300805	Pilosella bauhini	2024	20	Plantae
7224427	Trifolium hybridum subsp. hybridum	2024	20	Plantae
2651826	Adiantum raddianum	2024	19	Plantae
3042751	Brassica juncea	2024	19	Plantae
5361944	Broussonetia papyrifera	2024	18	Plantae
3026049	Cotoneaster dammeri	2024	17	Plantae
5289666	Setaria faberi	2024	17	Plantae
5415056	Forsythia suspensa	2024	17	Plantae
5892120	Girardia tigrina	2024	16	Animalia
5356514	Lathyrus odoratus	2024	13	Plantae
1031684	Lepinotus patruelis	2024	12	Animalia
7263145	Acer rufinerve	2024	11	Plantae
2479329	Platycercus eximius	2024	10	Animalia
2480410	Parabuteo unicinctus	2024	9	Animalia
2926884	Satureja montana	2024	8	Plantae
2931104	Solanum pseudocapsicum	2024	8	Plantae
3034046	Persea americana	2024	8	Plantae
5359175	Trifolium resupinatum	2024	8	Plantae
5561475	Chaenostoma cordatum	2024	8	Plantae
2077985	Impatientinum asiaticum	2024	7	Animalia
2677047	Orthodontium lineare	2024	7	Plantae
2704949	Festuca trachyphylla	2024	7	Plantae
2913219	Galium anglicum	2024	7	Plantae
2928538	Ipomoea hederacea	2024	7	Plantae
4409643	Leuciscus idus	2024	7	Animalia
5376309	Diplotaxis erucoides	2024	7	Plantae
5410661	Campanula pyramidalis	2024	7	Plantae
1031394	Ectopsocus petersi	2024	6	Animalia
2767229	Scilla sardensis	2024	6	Plantae
2965354	Medicago falcata	2024	6	Plantae
3083680	Atriplex micrantha	2024	6	Plantae
3189497	Hypericum calycinum	2024	6	Plantae
5300716	Fritillaria imperialis	2024	6	Plantae
7810918	Scrophularia vernalis	2024	6	Plantae
8288930	Pilosella piloselloides	2024	6	Plantae
1095946	Reesa vespulae	2024	5	Animalia
2297108	Milax gagates	2024	5	Animalia
2684984	Araucaria araucana	2024	5	Plantae
2702792	Briza maxima	2024	5	Plantae
2704757	Sporobolus indicus	2024	5	Plantae
2925496	Verbena rigida	2024	5	Plantae
2927004	Salvia officinalis	2024	5	Plantae
2985964	Deutzia gracilis	2024	5	Plantae
3026622	Spiraea vanhouttei	2024	5	Plantae
3814157	Eudianthe coeli-rosa	2024	5	Plantae
5568446	Dysphania ambrosioides	2024	5	Plantae
7156971	Oxalis triangularis	2024	5	Plantae
7307327	Agastache rugosa	2024	5	Plantae
7818643	Prunus armeniaca	2024	5	Plantae
8210972	Jacobaea albescens	2024	5	Plantae
8358048	Potentilla recta subsp. obscura (Willd.) Arcang.	2024	5	Plantae
2687885	Ginkgo biloba	2023	32	Plantae
3040184	Populus balsamifera	2023	26	Plantae
7262908	Acer cappadocicum	2023	26	Plantae
3152614	Abutilon theophrasti	2023	20	Plantae
2772174	Muscari armeniacum	2023	19	Plantae
2764179	Commelina communis	2023	11	Plantae
2685796	Pseudotsuga menziesii	2023	10	Plantae
2766030	Pontederia cordata	2023	10	Plantae
2716226	Cyperus esculentus	2023	9	Plantae
2926066	Symphytum asperum	2023	9	Plantae
2932944	Capsicum annuum	2023	9	Plantae
3034015	Laurus nobilis	2023	9	Plantae
7905507	Amaranthus albus	2023	8	Plantae
9529916	Bufotes viridis	2023	8	Animalia
1309600	Andricus kollari	2023	6	Animalia
2294275	Eobania vermiculata	2023	6	Animalia
5341204	Pulmonaria officinalis	2023	6	Plantae
2142456	Uloborus plumipes	2023	5	Animalia
2705185	Sorghum halepense	2023	5	Plantae
3152560	Hibiscus trionum	2023	5	Plantae
5153082	Homotoma ficus	2023	5	Animalia
5930559	Ilex altaclerensis	2023	5	Plantae
6950919	Bruchidius siliquastri	2023	5	Animalia
9182765	Calendula arvensis	2023	5	Plantae
2888636	Symphoricarpos orbiculatus	2022	38	Plantae
5334240	Lonicera japonica	2022	38	Plantae
7315072	Papaver atlanticum	2022	36	Plantae
3088310	Petasites japonicus	2022	33	Plantae
3190522	Cotinus coggygria	2022	32	Plantae
3054352	Juglans cinerea	2022	31	Plantae
3033965	Akebia quinata	2022	26	Plantae
3085357	Saponaria ocymoides	2022	26	Plantae
2685361	Abies grandis	2022	25	Plantae
5284982	Pinus strobus	2022	25	Plantae
5374614	Barbarea stricta	2022	18	Plantae
3123663	Pilosella caespitosa	2022	17	Plantae
5587240	Silene vulgaris subsp. vulgaris	2022	17	Plantae
2479964	Poicephalus senegalus	2022	14	Animalia
7102937	Euonymus japonicus	2022	12	Plantae
2479311	Platycercus elegans	2022	9	Animalia
7733140	Bellardia viscosa	2022	9	Plantae
2992543	Rubus laciniatus	2022	8	Plantae
7358677	Populus nigra var. italica (Moench) Koehne	2022	8	Plantae
2227300	Procambarus clarkii	2022	6	Animalia
2650829	Cyrtomium falcatum	2022	6	Plantae
2772094	Muscari botryoides	2022	6	Plantae
4484176	Cacopsylla fulguralis	2022	6	Animalia
5289917	Polypogon monspeliensis	2022	6	Plantae
10786206	Rhaphiolepis bibas	2022	6	Plantae
2091932	Pulvinaria hydrangeae	2022	5	Animalia
5218786	Procyon lotor	2022	5	Animalia
5384466	Gypsophila elegans	2022	5	Plantae
6109699	Phoenix dactylifera	2022	5	Plantae
