taxonKey,speciesKey,scientificName,kingdom,phylum,order,class,genus,family,species,rank,includes
1029199,1029199,"Eucypris pigra (Fischer, 1851)",Animalia,Arthropoda,Podocopida,Ostracoda,Eucypris,Cyprididae,Eucypris pigra,SPECIES,"1029199: Eucypris pigra (Fischer, 1851)"
1029290,1029290,"Notodromas monacha (O.F.Müller, 1776)",Animalia,Arthropoda,Podocopida,Ostracoda,Notodromas,Notodromadidae,Notodromas monacha,SPECIES,"1029290: Notodromas monacha (O.F.Müller, 1776) | 1029292: Cypris monacha O.F.Müller, 1776"
1029515,1029515,"Cyprideis torosa (Jones, 1850)",Animalia,Arthropoda,Podocopida,Ostracoda,Cyprideis,Cytherideidae,Cyprideis torosa,SPECIES,"1029515: Cyprideis torosa (Jones, 1850)"
1029879,1029879,"Loxoconcha elliptica Brady, 1868",Animalia,Arthropoda,Podocopida,Ostracoda,Loxoconcha,Loxoconchidae,Loxoconcha elliptica,SPECIES,"1029879: Loxoconcha elliptica Brady, 1868"
1031394,1031394,"Ectopsocus petersi Smithers, 1978",Animalia,Arthropoda,Psocodea,Insecta,Ectopsocus,Ectopsocidae,Ectopsocus petersi,SPECIES,"1031394: Ectopsocus petersi Smithers, 1978"
1031400,1031400,"Ectopsocus briggsi McLachlan, 1899",Animalia,Arthropoda,Psocodea,Insecta,Ectopsocus,Ectopsocidae,Ectopsocus briggsi,SPECIES,"1031400: Ectopsocus briggsi McLachlan, 1899"
1031438,1031438,"Amphigerontia contaminata (Stephens, 1836)",Animalia,Arthropoda,Psocodea,Insecta,Amphigerontia,Psocidae,Amphigerontia contaminata,SPECIES,"1031438: Amphigerontia contaminata (Stephens, 1836)"
1031470,1031470,"Loensia fasciata (Fabricius, 1787)",Animalia,Arthropoda,Psocodea,Insecta,Loensia,Psocidae,Loensia fasciata,SPECIES,"1031470: Loensia fasciata (Fabricius, 1787)"
1031582,1031582,"Peripsocus milleri (Tillyard, 1923)",Animalia,Arthropoda,Psocodea,Insecta,Peripsocus,Peripsocidae,Peripsocus milleri,SPECIES,"1031582: Peripsocus milleri (Tillyard, 1923)"
1031653,1031653,"Elipsocus hyalinus (Stephens, 1836)",Animalia,Arthropoda,Psocodea,Insecta,Elipsocus,Elipsocidae,Elipsocus hyalinus,SPECIES,"1031653: Elipsocus hyalinus (Stephens, 1836)"
1031667,1031667,"Cuneopalpus cyanops (Rostock, 1876)",Animalia,Arthropoda,Psocodea,Insecta,Cuneopalpus,Elipsocidae,Cuneopalpus cyanops,SPECIES,"1031667: Cuneopalpus cyanops (Rostock, 1876)"
1031679,1031679,"Cerobasis guestfalica (Kolbe, 1880)",Animalia,Arthropoda,Psocodea,Insecta,Cerobasis,Trogiidae,Cerobasis guestfalica,SPECIES,"1031679: Cerobasis guestfalica (Kolbe, 1880)"
1031684,1031684,"Lepinotus patruelis Pearman, 1931",Animalia,Arthropoda,Psocodea,Insecta,Lepinotus,Trogiidae,Lepinotus patruelis,SPECIES,"1031684: Lepinotus patruelis Pearman, 1931"
1031692,1031692,"Graphopsocus cruciatus (Linnaeus, 1768)",Animalia,Arthropoda,Psocodea,Insecta,Graphopsocus,Stenopsocidae,Graphopsocus cruciatus,SPECIES,"1031692: Graphopsocus cruciatus (Linnaeus, 1768)"
1031710,1031710,"Valenzuela flavidus (Stephens, 1836)",Animalia,Arthropoda,Psocodea,Insecta,Valenzuela,Caeciliusidae,Valenzuela flavidus,SPECIES,"1031710: Valenzuela flavidus (Stephens, 1836)"
1031724,1031724,"Valenzuela burmeisteri (Brauer, 1876)",Animalia,Arthropoda,Psocodea,Insecta,Valenzuela,Caeciliusidae,Valenzuela burmeisteri,SPECIES,"1031724: Valenzuela burmeisteri (Brauer, 1876)"
1031737,1031737,"Psyllipsocus ramburii Selys-Longchamps, 1872",Animalia,Arthropoda,Psocodea,Insecta,Psyllipsocus,Psyllipsocidae,Psyllipsocus ramburii,SPECIES,"1031737: Psyllipsocus ramburii Selys-Longchamps, 1872"
1031796,1031796,"Pteroxanium kelloggi (Ribaga, 1905)",Animalia,Arthropoda,Psocodea,Insecta,Pteroxanium,Lepidopsocidae,Pteroxanium kelloggi,SPECIES,"1031796: Pteroxanium kelloggi (Ribaga, 1905)"
1033452,1033452,"Dryops luridus (Erichson, 1847)",Animalia,Arthropoda,Coleoptera,Insecta,Dryops,Dryopidae,Dryops luridus,SPECIES,"1033452: Dryops luridus (Erichson, 1847)"
1033938,1033938,"Helophorus aquaticus (Linnaeus, 1758)",Animalia,Arthropoda,Coleoptera,Insecta,Helophorus,Helophoridae,Helophorus aquaticus,SPECIES,"1033938: Helophorus aquaticus (Linnaeus, 1758)"
1033951,1033951,"Helophorus grandis (Illiger, 1798)",Animalia,Arthropoda,Coleoptera,Insecta,Helophorus,Helophoridae,Helophorus grandis,SPECIES,"1033951: Helophorus grandis (Illiger, 1798)"
1033958,1033958,"Helophorus brevipalpis Bedel, 1881",Animalia,Arthropoda,Coleoptera,Insecta,Helophorus,Helophoridae,Helophorus brevipalpis,SPECIES,"1033958: Helophorus brevipalpis Bedel, 1881"
1033999,1033999,"Enochrus melanocephalus (A.G.Olivier, 1793)",Animalia,Arthropoda,Coleoptera,Insecta,Enochrus,Hydrophilidae,Enochrus melanocephalus,SPECIES,"1033999: Enochrus melanocephalus (A.G.Olivier, 1793)"
1034063,1034063,"Anacaena globula (Paykull, 1798)",Animalia,Arthropoda,Coleoptera,Insecta,Anacaena,Hydrophilidae,Anacaena globula,SPECIES,"1034063: Anacaena globula (Paykull, 1798)"
1034064,1034064,"Anacaena limbata (Fabricius, 1792)",Animalia,Arthropoda,Coleoptera,Insecta,Anacaena,Hydrophilidae,Anacaena limbata,SPECIES,"1034064: Anacaena limbata (Fabricius, 1792)"
1034067,1034067,"Anacaena bipustulata (Marsham, 1802)",Animalia,Arthropoda,Coleoptera,Insecta,Anacaena,Hydrophilidae,Anacaena bipustulata,SPECIES,"1034067: Anacaena bipustulata (Marsham, 1802)"
1034074,1034074,"Anacaena lutescens (Stephens, 1829)",Animalia,Arthropoda,Coleoptera,Insecta,Anacaena,Hydrophilidae,Anacaena lutescens,SPECIES,"1034074: Anacaena lutescens (Stephens, 1829)"
1034242,1034242,"Cryptopleurum minutum (Fabricius, 1775)",Animalia,Arthropoda,Coleoptera,Insecta,Cryptopleurum,Hydrophilidae,Cryptopleurum minutum,SPECIES,"1034242: Cryptopleurum minutum (Fabricius, 1775)"
1034244,1034244,"Cryptopleurum subtile Sharp, 1884",Animalia,Arthropoda,Coleoptera,Insecta,Cryptopleurum,Hydrophilidae,Cryptopleurum subtile,SPECIES,"1034244: Cryptopleurum subtile Sharp, 1884 | 10514108: BOLD:ABW4289"
1034329,1034329,"Sphaeridium scarabaeoides (Linnaeus, 1758)",Animalia,Arthropoda,Coleoptera,Insecta,Sphaeridium,Hydrophilidae,Sphaeridium scarabaeoides,SPECIES,"1034329: Sphaeridium scarabaeoides (Linnaeus, 1758)"
1034332,1034332,"Sphaeridium lunatum Fabricius, 1792",Animalia,Arthropoda,Coleoptera,Insecta,Sphaeridium,Hydrophilidae,Sphaeridium lunatum,SPECIES,"1034332: Sphaeridium lunatum Fabricius, 1792"
1034338,1034338,"Megasternum concinnum (Marsham, 1802)",Animalia,Arthropoda,Coleoptera,Insecta,Megasternum,Hydrophilidae,Megasternum concinnum,SPECIES,"11281564: Megasternum obscurum (Marsham, 1802)"
1034421,1034421,"Cercyon melanocephalus (Linnaeus, 1758)",Animalia,Arthropoda,Coleoptera,Insecta,Cercyon,Hydrophilidae,Cercyon melanocephalus,SPECIES,"1034421: Cercyon melanocephalus (Linnaeus, 1758)"
1034424,1034424,"Cercyon quisquilius (Linnaeus, 1760)",Animalia,Arthropoda,Coleoptera,Insecta,Cercyon,Hydrophilidae,Cercyon quisquilius,SPECIES,"1034424: Cercyon quisquilius (Linnaeus, 1760)"
1034425,1034425,"Cercyon tristis (Illiger, 1801)",Animalia,Arthropoda,Coleoptera,Insecta,Cercyon,Hydrophilidae,Cercyon tristis,SPECIES,"1034425: Cercyon tristis (Illiger, 1801)"
1034428,1034428,"Cercyon marinus C.G.Thomson, 1853",Animalia,Arthropoda,Coleoptera,Insecta,Cercyon,Hydrophilidae,Cercyon marinus,SPECIES,"1034428: Cercyon marinus C.G.Thomson, 1853"
1034431,1034431,"Cercyon littoralis (Gyllenhal, 1808)",Animalia,Arthropoda,Coleoptera,Insecta,Cercyon,Hydrophilidae,Cercyon littoralis,SPECIES,"1034431: Cercyon littoralis (Gyllenhal, 1808)"
1034441,1034441,"Cercyon convexiusculus Stephens, 1829",Animalia,Arthropoda,Coleoptera,Insecta,Cercyon,Hydrophilidae,Cercyon convexiusculus,SPECIES,"1034441: Cercyon convexiusculus Stephens, 1829"
1034442,1034442,"Cercyon pygmaeus (Illiger, 1801)",Animalia,Arthropoda,Coleoptera,Insecta,Cercyon,Hydrophilidae,Cercyon pygmaeus,SPECIES,"1034442: Cercyon pygmaeus (Illiger, 1801)"
1034452,1034452,"Cercyon unipunctatus (Linnaeus, 1758)",Animalia,Arthropoda,Coleoptera,Insecta,Cercyon,Hydrophilidae,Cercyon unipunctatus,SPECIES,"1034452: Cercyon unipunctatus (Linnaeus, 1758)"
1034454,1034454,"Cercyon lateralis (Marsham, 1802)",Animalia,Arthropoda,Coleoptera,Insecta,Cercyon,Hydrophilidae,Cercyon lateralis,SPECIES,"1034454: Cercyon lateralis (Marsham, 1802)"
1034462,1034462,"Cercyon terminatus (Marsham, 1802)",Animalia,Arthropoda,Coleoptera,Insecta,Cercyon,Hydrophilidae,Cercyon terminatus,SPECIES,"1034462: Cercyon terminatus (Marsham, 1802)"
1034472,1034472,"Cercyon analis (Paykull, 1798)",Animalia,Arthropoda,Coleoptera,Insecta,Cercyon,Hydrophilidae,Cercyon analis,SPECIES,"1034472: Cercyon analis (Paykull, 1798) | 10074286: BOLD:AAM0572"
1034609,1034609,"Hylecoetus dermestoides (Linnaeus, 1861)",Animalia,Arthropoda,Coleoptera,Insecta,Hylecoetus,Lymexylidae,Hylecoetus dermestoides,SPECIES,"1034608: Elateroides dermestoides (Linnaeus, 1760) | 1034609: Hylecoetus dermestoides (Linnaeus, 1861)"
1035167,1035167,"Amara lunicollis Schiödte, 1837",Animalia,Arthropoda,Coleoptera,Insecta,Amara,Carabidae,Amara lunicollis,SPECIES,"1035167: Amara lunicollis Schiödte, 1837"
1035185,1035185,"Amara aenea (DeGeer, 1774)",Animalia,Arthropoda,Coleoptera,Insecta,Amara,Carabidae,Amara aenea,SPECIES,"1035185: Amara aenea (DeGeer, 1774)"
