class	kingdom	variable	year	area	n_emerging	n_total
Testudines	Animalia	occs	2022	Natura2000	5	14
Bivalvia	Animalia	occs	2022	Natura2000	4	13
Ascidiacea	Animalia	occs	2022	Natura2000	3	4
Bryopsida	Plantae	occs	2022	Natura2000	2	2
Clitellata	Animalia	occs	2022	Natura2000	2	6
Diplopoda	Animalia	occs	2022	Natura2000	2	2
Polychaeta	Animalia	occs	2022	Natura2000	2	4
Pucciniomycetes	Fungi	occs	2022	Natura2000	2	5
Agaricomycetes	Fungi	occs	2022	Natura2000	1	2
Chilopoda	Animalia	occs	2022	Natura2000	1	1
Ginkgoopsida	Plantae	occs	2022	Natura2000	1	1
Gymnolaemata	Animalia	occs	2022	Natura2000	1	2
Hydrozoa	Animalia	occs	2022	Natura2000	1	2
Jungermanniopsida	Plantae	occs	2022	Natura2000	1	1
Monogenea	Animalia	occs	2022	Natura2000	1	1
Ustilaginomycetes	Fungi	occs	2022	Natura2000	1	2
Anthozoa	Animalia	occs	2022	Natura2000	0	1
Branchiopoda	Animalia	occs	2022	Natura2000	0	1
Copepoda	Animalia	occs	2022	Natura2000	0	1
Demospongiae	Animalia	occs	2022	Natura2000	0	1
Gnetopsida	Plantae	occs	2022	Natura2000	0	1
Leotiomycetes	Fungi	occs	2022	Natura2000	0	1
Maxillopoda	Animalia	occs	2022	Natura2000	0	1
Phaeophyceae	Chromista	occs	2022	Natura2000	0	2
Phylactolaemata	Animalia	occs	2022	Natura2000	0	1
Tentaculata	Animalia	occs	2022	Natura2000	0	1
