class	kingdom	variable	year	area	n_emerging	n_total
Bivalvia	Animalia	occs	2021	Belgium	3	13
Squamata	Animalia	occs	2021	Belgium	3	16
Bryopsida	Plantae	occs	2021	Belgium	2	2
Agaricomycetes	Fungi	occs	2021	Belgium	1	2
Chilopoda	Animalia	occs	2021	Belgium	1	1
Diplopoda	Animalia	occs	2021	Belgium	1	2
Ginkgoopsida	Plantae	occs	2021	Belgium	1	1
Jungermanniopsida	Plantae	occs	2021	Belgium	1	1
Tentaculata	Animalia	occs	2021	Belgium	1	1
Ustilaginomycetes	Fungi	occs	2021	Belgium	1	2
	Animalia	occs	2021	Belgium	1	25
Amphibia	Animalia	occs	2021	Belgium	0	11
Anthozoa	Animalia	occs	2021	Belgium	0	1
Ascidiacea	Animalia	occs	2021	Belgium	0	4
Branchiopoda	Animalia	occs	2021	Belgium	0	1
Clitellata	Animalia	occs	2021	Belgium	0	6
Copepoda	Animalia	occs	2021	Belgium	0	1
Demospongiae	Animalia	occs	2021	Belgium	0	1
Gnetopsida	Plantae	occs	2021	Belgium	0	1
Gymnolaemata	Animalia	occs	2021	Belgium	0	2
Hydrozoa	Animalia	occs	2021	Belgium	0	2
Leotiomycetes	Fungi	occs	2021	Belgium	0	1
Maxillopoda	Animalia	occs	2021	Belgium	0	1
Monogenea	Animalia	occs	2021	Belgium	0	1
Phaeophyceae	Chromista	occs	2021	Belgium	0	2
Phylactolaemata	Animalia	occs	2021	Belgium	0	1
Polychaeta	Animalia	occs	2021	Belgium	0	4
Pucciniomycetes	Fungi	occs	2021	Belgium	0	5
Magnoliopsida	Plantae	occs	2022	Belgium	161	873
Insecta	Animalia	occs	2022	Belgium	44	182
Liliopsida	Plantae	occs	2022	Belgium	39	201
Aves	Animalia	occs	2022	Belgium	36	212
Arachnida	Animalia	occs	2022	Belgium	9	26
Pinopsida	Plantae	occs	2022	Belgium	8	35
Malacostraca	Animalia	occs	2022	Belgium	7	31
Polypodiopsida	Plantae	occs	2022	Belgium	7	20
Gastropoda	Animalia	occs	2022	Belgium	6	21
Bivalvia	Animalia	occs	2022	Belgium	4	13
Mammalia	Animalia	occs	2022	Belgium	3	31
Amphibia	Animalia	occs	2022	Belgium	2	11
Bryopsida	Plantae	occs	2022	Belgium	2	2
Squamata	Animalia	occs	2022	Belgium	2	16
	Animalia	occs	2022	Belgium	2	25
Chilopoda	Animalia	occs	2022	Belgium	1	1
Diplopoda	Animalia	occs	2022	Belgium	1	2
Ginkgoopsida	Plantae	occs	2022	Belgium	1	1
Jungermanniopsida	Plantae	occs	2022	Belgium	1	1
Pucciniomycetes	Fungi	occs	2022	Belgium	1	5
Agaricomycetes	Fungi	occs	2022	Belgium	0	2
Anthozoa	Animalia	occs	2022	Belgium	0	1
Ascidiacea	Animalia	occs	2022	Belgium	0	4
Branchiopoda	Animalia	occs	2022	Belgium	0	1
Clitellata	Animalia	occs	2022	Belgium	0	6
Copepoda	Animalia	occs	2022	Belgium	0	1
Demospongiae	Animalia	occs	2022	Belgium	0	1
Gnetopsida	Plantae	occs	2022	Belgium	0	1
Gymnolaemata	Animalia	occs	2022	Belgium	0	2
Hydrozoa	Animalia	occs	2022	Belgium	0	2
Leotiomycetes	Fungi	occs	2022	Belgium	0	1
Maxillopoda	Animalia	occs	2022	Belgium	0	1
Monogenea	Animalia	occs	2022	Belgium	0	1
Phaeophyceae	Chromista	occs	2022	Belgium	0	2
Phylactolaemata	Animalia	occs	2022	Belgium	0	1
Polychaeta	Animalia	occs	2022	Belgium	0	4
Tentaculata	Animalia	occs	2022	Belgium	0	1
Testudines	Animalia	occs	2022	Belgium	0	14
Ustilaginomycetes	Fungi	occs	2022	Belgium	0	2
