taxonKey	taxonName	kingdom	year	em_status	dr_1	dr_2	dr_3	dr_4
2440946	Muntiacus reevesi (Ogilby, 1839)	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
2440954	Cervus nippon Temminck, 1838	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2443002	Trachemys scripta (Thunberg In Schoepff, 1792)	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2473341	Numida meleagris (Linnaeus, 1758)	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2473477	Syrmaticus reevesii (J.E.Gray, 1829)	Animalia	2022	3	FALSE	TRUE	FALSE	TRUE
2474416	Porphyrio porphyrio (Linnaeus, 1758)	Animalia	2022	1	TRUE	FALSE	FALSE	FALSE
2475648	Dacelo novaeguineae (Hermann, 1783)	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
2479226	Psittacula krameri (Scopoli, 1769)	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2479311	Platycercus elegans (Gmelin, 1788)	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
2479329	Platycercus eximius (Shaw, 1792)	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
2479407	Myiopsitta monachus (Boddaert, 1783)	Animalia	2022	3	FALSE	TRUE	FALSE	TRUE
2479798	Melopsittacus undulatus (Shaw, 1805)	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
2480372	Elanus caeruleus (Desfontaines, 1789)	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2480410	Parabuteo unicinctus (Temminck, 1824)	Animalia	2022	3	FALSE	TRUE	FALSE	TRUE
2480491	Circus macrourus (S.G.Gmelin, 1770)	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
2480685	Hieraaetus pennatus (Gmelin, 1788)	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2480764	Threskiornis aethiopicus (Latham, 1790)	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
2480773	Plegadis falcinellus (Linnaeus, 1766)	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2480906	Ardeola ralloides (Scopoli, 1769)	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
2481062	Falco vespertinus Linnaeus, 1766	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
2481263	Gelochelidon nilotica (J.F.Gmelin, 1789)	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2481703	Xenus cinereus (Güldenstädt, 1775)	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
2481719	Tringa stagnatilis (Bechstein, 1803)	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2481744	Calidris melanotos (Vieillot, 1819)	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
2481959	Gavia arctica (Linnaeus, 1758)	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2481962	Gavia immer (Brunnich, 1764)	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
2486132	Pycnonotus leucotis (Gould, 1836)	Animalia	2022	1	FALSE	FALSE	FALSE	TRUE
2492867	Lanius senator Linnaeus, 1758	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
2493633	Taeniopygia guttata (Vieillot, 1817)	Animalia	2022	3	FALSE	TRUE	FALSE	TRUE
2494303	Serinus canaria (Linnaeus, 1758)	Animalia	2022	3	FALSE	TRUE	FALSE	TRUE
2495414	Columba livia J.F.Gmelin, 1789	Animalia	2022	3	FALSE	TRUE	FALSE	TRUE
2498015	Tadorna ferruginea (Pallas, 1764)	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2498026	Anser erythropus (Linnaeus, 1758)	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
2498034	Anser cygnoides (Linnaeus, 1758)	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2498035	Anser indicus (Latham, 1790)	Animalia	2022	3	FALSE	TRUE	FALSE	TRUE
2498046	Chenonetta jubata (Latham, 1801)	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2498090	Anas bahamensis Linnaeus, 1758	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
2498161	Anser rossii Cassin, 1861	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
2498163	Anser canagicus (Sevastianov, 1802)	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2498167	Anser caerulescens (Linnaeus, 1758)	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
2498252	Alopochen aegyptiaca (Linnaeus, 1766)	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2498259	Aythya nyroca (Güldenstädt, 1770)	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
2498305	Oxyura jamaicensis (J.F.Gmelin, 1789)	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
2498329	Bucephala albeola (Linnaeus, 1758)	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
2498344	Cygnus atratus (Latham, 1790)	Animalia	2022	3	FALSE	TRUE	FALSE	TRUE
2498384	Callonetta leucophrys (Vieillot, 1816)	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2498387	Aix sponsa (Linnaeus, 1758)	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2498388	Aix galericulata (Linnaeus, 1758)	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2498402	Dendrocygna bicolor (Vieillot, 1816)	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2498408	Lophodytes cucullatus (Linnaeus, 1758)	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2501248	Mnemiopsis leidyi A.Agassiz, 1865	Animalia	2022	3	FALSE	TRUE	FALSE	TRUE
2516075	Cumminsiella mirabilissima (Peck) Nannf.	Fungi	2022	1	FALSE	FALSE	FALSE	FALSE
2537743	Lentinula edodes (Berk.) Pegler	Fungi	2022	1	FALSE	FALSE	FALSE	FALSE
2598552	Seifertia azaleae (Peck) Partr. & Morgan-Jones	Fungi	2022	1	FALSE	FALSE	FALSE	FALSE
2650107	Azolla filiculoides Lam.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2650827	Cyrtomium fortunei J.Sm.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
