key	nubKey	speciesKey	scientificName	species	kingdom	source_checklist	species_is_alien	remarks
152546440	3065244	3065239	Euphorbia amygdaloides subsp. robbiae (Turrill) Stace	Euphorbia amygdaloides	Plantae	Manual of the Alien Plants of Belgium	FALSE	
152546478	7293222	2873877	Linum austriacum subsp. austriacum	Linum austriacum	Plantae	Manual of the Alien Plants of Belgium		
152546507	5825913	5284809	Pinus nigra subsp. laricio (Poir.) Maire	Pinus nigra	Plantae	Manual of the Alien Plants of Belgium	TRUE	
152546508	7230699	5284809	Pinus nigra subsp. nigra	Pinus nigra	Plantae	Manual of the Alien Plants of Belgium	TRUE	
152546703	2769073	2769069	Camassia leichtlinii subsp. suksdorfii (Greenm.) Gould	Camassia leichtlinii	Plantae	Manual of the Alien Plants of Belgium		
152546743	7421129	8243603	Cyperus longus subsp. badius (Desf.) Bonnier & Layens	Cyperus longus	Plantae	Manual of the Alien Plants of Belgium		
152546744	7070211	8243603	Cyperus longus subsp. longus	Cyperus longus	Plantae	Manual of the Alien Plants of Belgium		
152546762	7227181	2722926	Carex muricata subsp. muricata	Carex muricata	Plantae	Manual of the Alien Plants of Belgium		
152546784	7998563	8010581	Diplachne fusca subsp. fusca	Diplachne fusca	Plantae	Manual of the Alien Plants of Belgium		
152546785	8257546	8010581	Diplachne fusca subsp. fascicularis (Lam.) P.M.Peterson & N.Snow	Diplachne fusca	Plantae	Manual of the Alien Plants of Belgium		
152546786	8369366	8010581	Diplachne fusca subsp. uninervia (J.Presl) P.M.Peterson & N.Snow	Diplachne fusca	Plantae	Manual of the Alien Plants of Belgium		
152546831	7226776	5289686	Setaria verticillata var. verticillata	Setaria verticillata	Plantae	Manual of the Alien Plants of Belgium		
152546942	6710856	4104891	Austrostipa scabra subsp. scabra	Austrostipa scabra	Plantae	Manual of the Alien Plants of Belgium		
152546944	4104890	4104891	Austrostipa scabra subsp. falcata (Hughes) S.W.L.Jacobs & J.Everett	Austrostipa scabra	Plantae	Manual of the Alien Plants of Belgium		
152546949	4131042	2703777	Bromus hordeaceus subsp. longipedicellatus Spalton	Bromus hordeaceus	Plantae	Manual of the Alien Plants of Belgium		
152546991	4270675	2702816	Echinochloa muricata var. muricata	Echinochloa muricata	Plantae	Manual of the Alien Plants of Belgium		
152547042	7226804	2705286	Avena sterilis subsp. sterilis	Avena sterilis	Plantae	Manual of the Alien Plants of Belgium		
152547092	6449041	2705090	Panicum miliaceum subsp. miliaceum	Panicum miliaceum	Plantae	Manual of the Alien Plants of Belgium		
152547124	2706403	7795888	Triticum aestivum subsp. spelta (L.) Thell.	Triticum aestivum	Plantae	Manual of the Alien Plants of Belgium		
159747332	2717402	2717400	Eleocharis mamillata subsp. austriaca (Hayek) Strandh.	Eleocharis mamillata	Plantae	Manual of the Alien Plants of Belgium		
213214077	9405645	5341197	Lycopsis arvensis subsp. orientalis (L.) Kuzn.	Lycopsis arvensis	Plantae	Manual of the Alien Plants of Belgium	
213212823	2705287	2705286	Avena sterilis subsp. ludoviciana (Durieu) Nyman	Avena sterilis	Plantae	Manual of the Alien Plants of Belgium	
213215716	3023671	7931731	Prunus domestica subsp. syriaca (Borkh.) Janch.	Prunus domestica	Plantae	Manual of the Alien Plants of Belgium	
182134719	3596131	8237223	Halimium lasianthum subsp. alyssoides (Lam.) Greuter	Halimium lasianthum	Plantae	Halimium lasianthum	Waarnemingen.be / observations.be - List of species observed in Belgium;Manual of the Alien Plants of Belgium	
213213452	3666059	3188894	Oenothera glazioviana f. rubricalyx (R.R.Gates) Lambinon	Oenothera glazioviana	Plantae	Waarnemingen.be / observations.be - List of species observed in Belgium;Manual of the Alien Plants of Belgium	
213212901	4115425	7886346	Hordeum murinum subsp. glaucum (Steud.) Tzvelev	Hordeum murinum	Plantae	Manual of the Alien Plants of Belgium	
213212768	4123394	4123395	Festuca guestfalica subsp. hirtula (Hack. ex Travis) Dengler	Festuca guestfalica	Plantae	Manual of the Alien Plants of Belgium	
213213619	4194303	2986111	Ribes aureum var. villosum DC.	Ribes aureum	Plantae	Manual of the Alien Plants of Belgium	
182134921	4219118	9689880	Hieracium glaucinum subsp. recensitum (Jord. ex Boreau) Gottschl.	Hieracium glaucinum	Plantae	Manual of the Alien Plants of Belgium	
213215134	4250676	3105782	Sonchus asper subsp. glaucescens (Jord.) Ballota	Sonchus asper	Plantae	Manual of the Alien Plants of Belgium	
